Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,0.1053,0.9621,0.0486,0.9955
2,0.0285,0.9912,0.0236,0.9940
3,0.0164,0.9942,0.0077,0.9984
4,0.0122,0.9957,0.0090,0.9983
5,0.0095,0.9966,0.0086,0.9984
6,0.0075,0.9975,0.0104,0.9982
7,0.0067,0.9977,0.0126,0.9976
8,0.0059,0.9981,0.0261,0.9943
