Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
27,0.2375,0.7715,3.5524,0.2906,0.4009,0.2906,0.2960,0.2193,0.0687,0.5563,0.2987,0.4653,0.1357,0.3097,0.2972,0.6202,0.1204,0.3387,0.5775,0.1931,0.2668,0.3019
28,0.2281,0.7771,3.6438,0.2804,0.3993,0.2804,0.2880,0.2102,0.0900,0.5625,0.2870,0.4772,0.2144,0.3366,0.2922,0.6072,0.1055,0.2702,0.4225,0.1583,0.2514,0.3396
29,0.2157,0.7855,3.7011,0.2882,0.4084,0.2882,0.3005,0.2222,0.1161,0.6188,0.3016,0.4157,0.1554,0.3320,0.2821,0.6279,0.1283,0.2657,0.6708,0.2111,0.2340,0.4340
30,0.1926,0.7996,3.6723,0.2990,0.4098,0.2990,0.3038,0.2302,0.0735,0.5750,0.3353,0.4933,0.1269,0.3259,0.3048,0.5866,0.1117,0.2976,0.6438,0.1694,0.2812,0.2736
31,0.1840,0.8050,3.7137,0.2978,0.4068,0.2978,0.3001,0.2282,0.0545,0.5625,0.3192,0.5006,0.1335,0.3363,0.3300,0.5995,0.1067,0.2702,0.6416,0.1583,0.2728,0.3679
32,0.1806,0.8080,3.7351,0.3071,0.4149,0.3071,0.3114,0.2380,0.0687,0.5875,0.2987,0.5010,0.1532,0.3220,0.3199,0.6098,0.1221,0.3216,0.6978,0.1889,0.2829,0.3208
33,0.1748,0.8116,3.7712,0.2977,0.3932,0.2977,0.2992,0.2251,0.0640,0.6188,0.3382,0.4779,0.1444,0.3200,0.2897,0.6434,0.1107,0.2873,0.5685,0.1750,0.3083,0.2830
34,0.1711,0.8139,3.8686,0.2972,0.4028,0.2972,0.3067,0.2269,0.0853,0.5500,0.3324,0.4530,0.1641,0.3278,0.2720,0.6253,0.1310,0.2623,0.6045,0.2028,0.2849,0.2925
35,0.1679,0.8169,3.8370,0.2958,0.4109,0.2958,0.3016,0.2266,0.0735,0.5563,0.2972,0.5079,0.1466,0.3145,0.3023,0.5969,0.1174,0.2782,0.6281,0.1764,0.2628,0.4151
36,0.1661,0.8179,3.9340,0.2963,0.4068,0.2963,0.3058,0.2257,0.0521,0.5500,0.3441,0.4637,0.1466,0.3288,0.2544,0.6047,0.1358,0.2953,0.5921,0.1931,0.2685,0.3113
37,0.1509,0.8276,3.9065,0.3012,0.4029,0.3012,0.3058,0.2297,0.0782,0.5813,0.3602,0.5017,0.1269,0.3223,0.3023,0.5969,0.1241,0.2748,0.6045,0.1708,0.2832,0.3019
38,0.1484,0.8289,3.9739,0.3025,0.4046,0.3025,0.3074,0.2330,0.0616,0.5563,0.3470,0.4706,0.1400,0.3136,0.2821,0.5995,0.1258,0.2406,0.7652,0.1792,0.2923,0.3019
39,0.1454,0.8314,3.9895,0.2995,0.4042,0.2995,0.3052,0.2280,0.0616,0.5563,0.3397,0.4948,0.1357,0.3340,0.2872,0.6098,0.1186,0.3147,0.5438,0.1569,0.2913,0.3208
40,0.1430,0.8326,3.9901,0.3017,0.3970,0.3017,0.3092,0.2285,0.0687,0.5375,0.3616,0.4806,0.1422,0.3343,0.2645,0.5943,0.1368,0.2714,0.5562,0.1681,0.2986,0.2736
41,0.1378,0.8363,4.0320,0.3030,0.4052,0.3030,0.3098,0.2314,0.0758,0.5687,0.3470,0.4883,0.1400,0.3317,0.2670,0.6047,0.1301,0.2520,0.6202,0.1819,0.2939,0.2830
42,0.1358,0.8375,3.9938,0.3065,0.4031,0.3065,0.3152,0.2336,0.0687,0.5563,0.3411,0.4821,0.1335,0.3444,0.2746,0.5891,0.1499,0.2805,0.6180,0.1667,0.2812,0.2830
43,0.1353,0.8382,4.0715,0.3016,0.4043,0.3016,0.3078,0.2298,0.0545,0.5625,0.3572,0.4990,0.1247,0.3210,0.2872,0.5891,0.1328,0.2611,0.6281,0.1611,0.2852,0.3113
44,0.1347,0.8390,4.0464,0.2987,0.3946,0.2987,0.3048,0.2253,0.0616,0.5437,0.3338,0.4787,0.1400,0.3499,0.2872,0.5969,0.1263,0.2828,0.5337,0.1653,0.2859,0.3491
45,0.1321,0.8410,4.0329,0.3039,0.4000,0.3039,0.3086,0.2311,0.0664,0.5563,0.3441,0.5083,0.1379,0.3158,0.2796,0.5866,0.1320,0.2885,0.6157,0.1597,0.2946,0.2925
46,0.1304,0.8410,4.0706,0.3010,0.3986,0.3010,0.3081,0.2285,0.0616,0.5437,0.3470,0.4841,0.1269,0.3307,0.2846,0.6021,0.1350,0.2748,0.5865,0.1667,0.2896,0.3019
47,0.1292,0.8425,4.0858,0.3020,0.3990,0.3020,0.3082,0.2288,0.0592,0.5500,0.3411,0.4902,0.1335,0.3230,0.2821,0.5866,0.1370,0.2737,0.6101,0.1653,0.2926,0.2830
