Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.6425,0.6892,1.4110,0.6528,0.7021,0.6528,0.6070,0.9640,0.0228,0.0621,0.7985,0.6938
2,0.5479,0.7431,1.4321,0.6856,0.7231,0.6856,0.6447,0.8467,0.0411,0.1530,0.8907,0.6391
3,0.5165,0.7588,1.4296,0.6946,0.7224,0.6946,0.6510,0.9594,0.0574,0.0983,0.8782,0.6863
4,0.4996,0.7689,1.2779,0.6933,0.7237,0.6933,0.6607,0.6958,0.0581,0.2151,0.8472,0.7202
5,0.4865,0.7754,0.9742,0.7125,0.7483,0.7125,0.6818,0.9517,0.1318,0.2366,0.9092,0.6436
