Mode,Sensor,Model,Accuracy,F1-Score,Precision,Recall,MCC,ROC-AUC,Latency_ms,FAR,Timestamp
detection,audio,WaveformClassificationCNN,0.5536,0.5365,0.6201,0.5536,0.1885,0.6587,0.0789,0.63398,20260418_062220
detection,audio,WaveformClassificationCNN,0.5472,0.5298,0.6122,0.5472,0.1747,0.6474,0.0828,0.6399900000000001,20260418_070519
detection,audio,DetectionCNN,0.545,0.5258,0.6129,0.545,0.174,0.6455,0.2883,0.64929,20260418_052621
detection,audio,BiGRU,0.5427,0.5163,0.6255,0.5427,0.1866,0.6635,0.0935,0.67881,20260418_070522
detection,seismic,ClassificationCNN,0.5895,0.5082,0.5829,0.5895,0.0993,0.7767,0.0216,0.07532,20260418_062213
detection,audio,ClassificationLSTM,0.5321,0.5069,0.6067,0.5321,0.1577,0.6383,0.0673,0.68164,20260418_062221
detection,audio,BiGRU,0.5358,0.5067,0.6204,0.5358,0.1757,0.6581,0.0834,0.6927,20260418_062223
detection,audio,ClassificationLSTM,0.533,0.5001,0.6239,0.533,0.1771,0.6608,0.0963,0.70682,20260418_070520
detection,audio,DetectionCNN,0.5165,0.4774,0.6081,0.5165,0.1474,0.6315,0.0861,0.7357299999999999,20260418_062218
detection,seismic,ClassificationCNN,0.5886,0.473,0.614,0.5886,0.0992,0.5486,0.0181,0.02685,20260418_062343
detection,seismic,ClassificationCNN,0.5785,0.4659,0.5605,0.5785,0.0515,0.7824,0.0579,0.04289,20260418_052616
detection,seismic,ClassificationLSTM,0.5747,0.4195,0.3303,0.5747,0.0,0.5,0.0292,0.0,20260413_132928
detection,seismic,WaveformClassificationCNN,0.5747,0.4195,0.3303,0.5747,0.0,0.5,0.0231,0.0,20260413_132927
detection,seismic,BiGRU,0.5747,0.4195,0.3303,0.5747,0.0,0.5,0.0262,0.0,20260413_132930
detection,seismic,ClassificationCNN,0.4263,0.2573,0.6236,0.4263,0.0196,0.5138,0.056,0.9967,20260418_055646
detection,best_ensemble,DetectionCNN + ClassificationCNN [best_ensemble],0.6966,0.6971,0.7243,0.6966,0.4198,0.8147,0.124,0.38325000000000004,best_ensemble
instance,seismic,InceptionTime,0.4615,0.456,0.4763,0.4615,0.3917,0.9134,0.0517,,20260413_171054
instance,audio,ClassificationLSTM,0.4335,0.4416,0.4928,0.4335,0.3614,0.8615,0.1259,,20260413_171059
instance,audio,WaveformClassificationCNN,0.4328,0.4401,0.5015,0.4328,0.3631,0.8618,0.0839,,20260413_171058
instance,audio,DetectionCNN,0.4346,0.4392,0.4866,0.4346,0.3629,0.8735,0.0935,,20260413_171056
instance,audio,BiGRU,0.4263,0.4312,0.4731,0.4263,0.3544,0.87,0.1069,,20260413_171101
instance,seismic,InceptionTime,0.4304,0.4086,0.4746,0.4304,0.3661,0.8941,0.145,,20260418_033607
instance,seismic,InceptionTime,0.4,0.38,0.4658,0.4,0.3363,0.8892,0.0262,,20260418_083013
instance,audio,BiGRU,0.3346,0.3454,0.4527,0.3346,0.2708,0.7928,0.116,,20260418_083020
instance,audio,ClassificationLSTM,0.3153,0.3331,0.4541,0.3153,0.2537,0.7823,0.1178,,20260418_083018
instance,audio,WaveformClassificationCNN,0.3468,0.3249,0.4338,0.3468,0.2819,0.8168,0.1136,,20260418_083017
instance,audio,InceptionTime,0.2935,0.2996,0.3566,0.2935,0.2184,0.7741,0.1016,,20260413_171100
instance,audio,ClassificationCNN,0.3102,0.2902,0.326,0.3102,0.2082,0.765,0.1057,,20260413_171057
instance,audio,DetectionCNN,0.3115,0.2827,0.3411,0.3115,0.246,0.811,0.5538,,20260418_033609
instance,seismic,DetectionCNN,0.2771,0.2608,0.2915,0.2771,0.1933,0.8116,0.0721,,20260413_171050
instance,audio,DetectionCNN,0.2968,0.2575,0.3323,0.2968,0.2386,0.7761,0.1079,,20260418_083015
instance,seismic,DetectionCNN,0.2535,0.2252,0.3254,0.2535,0.1985,0.8144,0.0496,,20260418_083009
instance,audio,InceptionTime,0.2068,0.1362,0.1874,0.2068,0.1455,0.7153,0.1051,,20260418_083019
instance,seismic,ClassificationCNN,0.2049,0.0998,0.2483,0.2049,0.0595,0.6509,0.0246,,20260418_083010
instance,seismic,ClassificationCNN,0.2244,0.0833,0.0511,0.2244,0.0025,0.5057,0.0457,,20260413_171051
instance,seismic,ClassificationCNN,0.128,0.0303,0.2928,0.128,0.0014,0.5241,0.1432,,20260418_033604
instance,seismic,ClassificationLSTM,0.1278,0.029,0.0163,0.1278,0.0,0.5,0.0462,,20260413_171053
instance,seismic,WaveformClassificationCNN,0.1278,0.029,0.0163,0.1278,0.0,0.5,0.0735,,20260413_171052
instance,seismic,BiGRU,0.1278,0.029,0.0163,0.1278,0.0,0.5,0.0456,,20260413_171055
instance,best_ensemble,InceptionTime + DetectionCNN [best_ensemble],0.5392,0.5385,0.5682,0.5392,0.4789,0.9314,0.1441,,best_ensemble
