Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.9815,0.4670,1.0226,0.4623,0.4696,0.4623,0.3653
2,1.00e-03,0.9650,0.4719,1.0049,0.5065,0.4533,0.5065,0.4761
3,1.00e-03,0.9605,0.4725,0.9914,0.4968,0.4774,0.4968,0.4070
4,1.00e-03,0.9600,0.4699,1.0172,0.4952,0.4663,0.4952,0.4034
5,1.00e-03,0.9594,0.4715,1.0134,0.4995,0.4468,0.4995,0.4711
6,1.00e-03,0.9586,0.4709,1.0109,0.5035,0.4703,0.5035,0.4407
7,5.00e-04,0.9548,0.4742,1.0206,0.4924,0.4482,0.4924,0.4535
8,5.00e-04,0.9542,0.4764,1.0151,0.4936,0.4546,0.4936,0.4505
9,5.00e-04,0.9530,0.4753,0.9962,0.4996,0.4471,0.4996,0.4709
10,5.00e-04,0.9534,0.4751,1.0121,0.5005,0.4765,0.5005,0.4186
